sku,brand,category,name,previous_price,sale_price,promo,case_qty
SEM29372,SEM,Seam Sealers,SEM 1K SEAM SEALER - GRAY,30.99,27.99,,
SEM29382,SEM,Seam Sealers,SEM 1K SEAM SEALER - BEIGE,30.99,27.99,,
SEM29392,SEM,Seam Sealers,SEM 1K SEAM SEALER - BLACK,30.99,27.99,,
SEM29462,SEM,Seam Sealers,SEM 2-IN-1 SEAM SEALER - WHITE,34.99,29.99,,
SEM29472,SEM,Seam Sealers,SEM 2-IN-1 SEAM SEALER - GRAY,34.99,29.99,,
SEM29482,SEM,Seam Sealers,SEM 2-IN-1 SEAM SEALER - BEIGE,34.99,29.99,,
SEM29492,SEM,Seam Sealers,SEM 2-IN-1 SEAM SEALER - BLACK,34.99,29.99,,
SEM39673,SEM,Primers & Coatings,SEM SELF ETCHING PRIMER - BLACK,37.99,29.99,,
SEM39683,SEM,Primers & Coatings,SEM SELF ETCHING PRIMER - GRAY,37.99,29.99,,
SEM39853,SEM,Primers & Coatings,SEM TEXTURE COATING,39.99,39.99,,
SEM40773,SEM,Primers & Coatings,SEM ZINCWELD,39.99,34.99,,
SEM39143,SEM,Color Coat & Trim,SEM TRIM BLACK,24.99,19.99,,
SEM39144-LV,SEM,Color Coat & Trim,SEM LOW VOC TRIM BLACK,87.99,69.99,,
SEM39863,SEM,Color Coat & Trim,SEM PLASTIC ADHESION PROMOTER,45.99,39.99,,
SEM40561,SEM,Body Fillers & Glazes,SEM Powder Pro Ultra Lightweight Body Filler,99.99,79.99,,
SEM39592,SEM,Body Fillers & Glazes,SEM METAL BITE FINISHING GLAZE (W/HARDENER),66.99,54.99,,
SEM40482,SEM,Body Fillers & Glazes,SEM BUMPER BITE FLEXIBLE GLAZE (W/HARDENER),55.99,44.99,,
SA6080,SEM,Abrasives,"""SEM 6"""" Grip Multihole 80, 50 Discs/Box""",67.99,59.99,,
SA6120,SEM,Abrasives,"""SEM 6"""" Grip Multihole 120, 50 Discs/Box""",69.99,49.99,,
SA6180,SEM,Abrasives,"""SEM 6"""" Grip Multihole 180, 50 Discs/Box""",69.99,49.99,,
SA6240,SEM,Abrasives,"""SEM 6"""" Grip Multihole 240, 50 Discs/Box""",69.99,49.99,,
SA6320,SEM,Abrasives,"""SEM 6"""" Grip Multihole 320, 50 Discs/Box""",69.99,49.99,,
SA6400,SEM,Abrasives,"""SEM 6"""" Grip Multihole 400, 50 Discs/Box""",69.99,49.99,,
SA6600,SEM,Abrasives,"""SEM 6"""" Grip Multihole 600, 50 Discs/Box""",69.99,49.99,,
SA6800,SEM,Abrasives,"""SEM 6"""" Grip Multihole 800, 50 Discs/Box""",69.99,49.99,,
SA26080,SEM,Abrasives,SEM AVS 6in 150mm Grip P80,69.99,44.99,,
SA21080,SEM,Abrasives,SEM AVS 2.75in x 33.5f Perf-Roll Grip Multihole P80,49.99,34.99,,
SA21120,SEM,Abrasives,SEM AVS 2.75in x 33.5f Perf-Roll Grip Multihole P120,44.99,29.99,,
SA21180,SEM,Abrasives,SEM AVS 2.75in x 33.5f Perf-Roll Grip Multihole P180,44.99,29.99,,
SA21240,SEM,Abrasives,SEM AVS 2.75in x 33.5f Perf-Roll Grip Multihole P240,44.99,29.99,,
SA21320,SEM,Abrasives,SEM AVS 2.75in x 33.5f Perf-Roll Grip Multihole P320,44.99,29.99,,
SA21400,SEM,Abrasives,SEM AVS 2.75in x 33.5f Perf-Roll Grip Multihole P400,44.99,29.99,,
SA1080,SEM,Abrasives,SEM Perf-Roll Grip Sandapaper Purple Roll P80,49.99,39.99,,
SA1120,SEM,Abrasives,SEM Perf-Roll Grip Sandapaper Purple Roll P120,39.99,34.99,,
SA1180,SEM,Abrasives,SEM Perf-Roll Grip Sandapaper Purple Roll P180,39.99,34.99,,
SA1240,SEM,Abrasives,SEM Perf-Roll Grip Sandapaper Purple Roll P240,39.99,34.99,,
SA1320,SEM,Abrasives,SEM Perf-Roll Grip Sandapaper Purple Roll P320,39.99,34.99,,
SA1400,SEM,Abrasives,SEM Perf-Roll Grip Sandapaper Purple Roll P800,39.99,34.99,,
SEM56650,SEM,Other SEM,SEM GLADIATOR XC BLACK KIT,243.99,199.99,,
SEM56670,SEM,Other SEM,SEM GLADIATOR XC TINTABLE KIT,243.99,199.99,,
SEM61993,SEM,Other SEM,SEM CUSTOM FILL AEROSOL BLANK,60.00,24.99,,
SEM62213,SEM,Other SEM,SEM EZ COAT - BLACK,30.99,24.99,,
SEM62223,SEM,Other SEM,SEM EZ COAT - OLIVE GREEN,30.99,24.99,,
SEM62233,SEM,Other SEM,SEM EZ COAT - LIGHT GREEN,24.99,24.99,,
SEM62243,SEM,Other SEM,SEM EZ COAT - GRAY,30.99,24.99,,
SEM62253,SEM,Other SEM,SEM EZ COAT - TAN,30.99,24.99,,
SEM62263,SEM,Other SEM,SEM EZ COAT - OLIVE BROWN,30.99,24.99,,
SEM62273,SEM,Other SEM,SEM EZ COAT - WHITE,30.99,24.99,,
SEM62283,SEM,Other SEM,SEM EZ COAT - FIELD DRAB,30.99,24.99,,
SEM62293,SEM,Other SEM,SEM EZ COAT - DARK GREEN,24.99,24.99,,
SEM77763,SEM,Other SEM,SEM XXX UNIVERSAL GUN CLEANER,15.99,12.99,,
SA26120,SEM,Other SEM,SEM AVS 6in 150mm P120,49.99,39.99,,
SA26180,SEM,Other SEM,SEM AVS 6in 150mm P180,49.99,39.99,,
SA26240,SEM,Other SEM,SEM AVS 6in 150mm P240,49.99,39.99,,
SA26320,SEM,Other SEM,SEM AVS 6in 150mm P320,49.99,39.99,,
SA26400,SEM,Other SEM,SEM AVS 6in 150mm P400,49.99,39.99,,
SA26600,SEM,Other SEM,SEM AVS 6in 150mm P600,49.99,39.99,,
SA26800,SEM,Other SEM,SEM AVS 6in 150mm P800,49.99,39.99,,
EC520,PPG,Clearcoats,EHP High Production Clearcoat Ga,816.20,408.10,,2
EC530,PPG,Clearcoats,EHP Performance Clearcoat Ga,816.20,408.10,,2
EC550,PPG,Clearcoats,EHP Ultra Gloss Clearcoat Ga,816.20,408.10,,2
EC5515,PPG,Clearcoats,EHP Low VOC Matte Clearcoat Qt,424.82,212.41,,2
EC5517,PPG,Clearcoats,EHP Low VOC Semi-Gloss Clearcoat Qt,424.82,212.41,,2
EC800,PPG,Clearcoats,EHP Ultra Fast 2.1 Clearcoat Ga,772.22,386.11,,2
ECH5075,PPG,Clearcoats,EHP Standard Clearcoat Hardener Qt,236.78,118.39,,6
ECH8075,PPG,Clearcoats,EHP Clearcoat Hardener Qt,236.78,118.39,,6
JC7200/01,PPG,Clearcoats,Shop-Line 2.1 VOC HS European Clearcoat Ga,225.48,112.74,,2
JC830,PPG,Clearcoats,Shop-Line 2.1 VOC Production Clear Ga,210.58,105.29,,2
SCA400,PPG,Clearcoats,OneChoice Cut-in Clear Dz,46.40,27.84,,6
ECP35,PPG,Primers & Sealers,EHP High Production Surfacer 2.1VOC Ga,694.41,347.20,,2
ECR65,PPG,Primers & Sealers,EHP High Production Surfacer 2.1VOC Ga,220.35,110.17,,2
ECS21,PPG,Primers & Sealers,EHP A-Chromatic 2.1VOC Sealer White Ga,683.88,341.94,,2
ECS25,PPG,Primers & Sealers,EHP A-Chromatic 2.1VOC Sealer Gray Ga,683.88,341.94,,2
ECS27,PPG,Primers & Sealers,EHP A-Chromatic 2.1VOC Sealer Black Ga,683.88,341.94,,2
JH358,PPG,Primers & Sealers,Shop-Line Multi-Purpose Primer Hardener L,119.74,59.87,,6
